,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
1494837,2021-01-18,2021-01-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,182.0,2094
1512892,2021-08-02,2021-08-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,276.0,2227
1519033,2021-09-20,2021-09-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,262.0,2619
1535855,2021-04-12,2021-04-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,295.0,2308
1535912,2021-04-19,2021-04-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,337.0,2306
1544705,2021-12-06,2021-12-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,278.0,1637
1544762,2021-12-13,2021-12-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,262.0,1437
1546065,2021-05-17,2021-05-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,363.0,2335
1546122,2021-05-24,2021-05-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,383.0,2210
1546707,2021-06-28,2021-07-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,327.0,2156
1549290,2021-07-19,2021-07-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,328.0,2324
1549347,2021-07-26,2021-08-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,323.0,2276
1554040,2021-11-29,2021-12-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,340.0,1827
1569358,2021-09-06,2021-09-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,251.0,2360
1569415,2021-09-13,2021-09-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,287.0,2553
1573385,2021-12-20,2021-12-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,217.0,1190
1590267,2021-01-25,2021-01-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,195.0,2064
1591029,2020-12-28,2021-01-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,223.0,1868
1591086,2021-01-04,2021-01-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,224.0,1903
1595506,2021-07-05,2021-07-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,262.0,2220
